"","ATTEND.pred","CountyFP","DOCUMENT.pred","PLAN.pred","StateFP","STOCK.pred","EVAC.pred","DRILL.pred","TALK.pred","SEEK.pred","IDX.pred"
"1766",0.284788934073454,"33003",0.609485826542602,0.464435992468156,33,0.851362971444202,0.390413528571969,0.458165867643743,0.457147904708669,0.698796952992459,0.527421255158124
"1767",0.295413076740239,"33005",0.621688105012259,0.461243534882987,33,0.835870155320675,0.390918537758115,0.477176112986392,0.449647011256909,0.698030662152284,0.530498859496393
"1768",0.286282396948267,"33007",0.608684600631852,0.494129741103625,33,0.827706197314025,0.433131092456159,0.46287323794272,0.433175127019,0.680369166179223,0.528742748989979
"1769",0.28290936530079,"33009",0.607850301855762,0.427989475018267,33,0.827960256155836,0.367573992959806,0.458703729424003,0.450930105639042,0.692377028981896,0.515510091568814
"1770",0.288007080157938,"33011",0.620220876047666,0.423393833478123,33,0.814562362482811,0.362207364256566,0.492925458553628,0.44553253585782,0.693980633629166,0.518903258098426
"1771",0.294853539999899,"33013",0.626895075683031,0.451809725251836,33,0.838671659430713,0.382978855015465,0.49078777268294,0.452836660848426,0.701525599396326,0.531545657635892
"1772",0.294241899979119,"33015",0.634525269769411,0.431630952291717,33,0.840024983350042,0.364709029009357,0.496260257461396,0.447738660819514,0.6991300494315,0.528227354912347
"1773",0.293527771582511,"33017",0.62804629589547,0.441484440821168,33,0.829925434240044,0.388807733614269,0.479687504944649,0.446539087809249,0.694693284725871,0.527358959293566
"1774",0.29999415718607,"33019",0.624588714985603,0.460289797867339,33,0.830166639916846,0.394709366472943,0.485833333309344,0.439742314500856,0.694211816455482,0.532039139030278
"1775",0.266013620850081,"34001",0.631200828894163,0.373712484083719,34,0.747751707729997,0.356082561907366,0.475874514932248,0.375820776102795,0.615507553344959,0.484848048929233
"1776",0.246096927161603,"34003",0.613397500827138,0.337443085092324,34,0.761711005537248,0.350238706304988,0.468188970228271,0.400159673709846,0.648509642135368,0.477792705403856
