"","ATTEND.pred","StateFP","DOCUMENT.pred","PLAN.pred","STOCK.pred","EVAC.pred","DRILL.pred","TALK.pred","SEEK.pred","IDX.pred"
"1",0.322674531613592,"01",0.672926200022339,0.563321729155156,0.800606271253777,0.467671867548637,0.517294200388589,0.50628808850033,0.677254261708869,0.569138437939444
"2",0.38175905100443,"02",0.616218453343497,0.525689535128128,0.811003199371711,0.496445104443586,0.549275807028821,0.610385087267669,0.73157877194331,0.607082629124011
"3",0.309610025565651,"04",0.658877292638463,0.385780674111815,0.803930174079197,0.440689146475938,0.443996824141264,0.438936851301818,0.652130297390126,0.51536998708487
"4",0.307827545610824,"05",0.681030232822619,0.566807424907709,0.814873754858175,0.454065638198972,0.520607234673219,0.429851263373331,0.679480676800133,0.563172793683537
"5",0.355955779717099,"06",0.609037133216898,0.444499390200955,0.79213998137292,0.46464934444098,0.536396592102576,0.523489577831265,0.709918052273341,0.557268691567673
"6",0.32743979540571,"08",0.666338021513455,0.417983638639759,0.796491531612477,0.424698943986406,0.527177467290687,0.467476542727542,0.693014533651127,0.538212134090871
"7",0.302005347202536,"09",0.668295172715031,0.424722398333223,0.76867437931096,0.374048949846462,0.506149863819399,0.451460852501391,0.648380805249632,0.526727528014535
"8",0.297953924900587,"10",0.686226561093389,0.446373123577881,0.824263112260093,0.394227447286747,0.487733650809192,0.408095950011914,0.57105824196882,0.515777554187042
"9",0.223194223310073,"11",0.696371323580629,0.328429914842276,0.731308818938899,0.25429574379667,0.460345712022915,0.413651906779068,0.665956367049356,0.446342422671341
"10",0.328465718033055,"12",0.701537471871668,0.591844249886144,0.802995460878905,0.49292026106834,0.488050029201712,0.624411092610201,0.757891074489352,0.601272676553243
"11",0.352588581417538,"13",0.687596566712691,0.502894581811852,0.782593843878965,0.392044649268684,0.557164261412042,0.493960566711403,0.7088468880545,0.56161595376427
"12",0.360461354958674,"15",0.618871119968573,0.482895488410526,0.861233339396285,0.478528110838704,0.503031885436186,0.588073346664493,0.689423878273986,0.566440570457265
"13",0.367185236384905,"16",0.613980697759276,0.426889306125067,0.856588127665567,0.49331575224932,0.512492510067068,0.48661103122077,0.686332245262399,0.535218817901333
"14",0.267477910166025,"17",0.630195833425298,0.383308650948655,0.749673547434953,0.30543907642307,0.522044435685734,0.373472038670642,0.61403527569649,0.487138544760258
"15",0.314082993622939,"18",0.658756695182272,0.454439716186874,0.785676843424764,0.351108498532389,0.543584708414891,0.46997767159533,0.663317359730892,0.539905471620658
"16",0.304133013283495,"19",0.647103985136793,0.486454063840486,0.795710580116589,0.330341722559024,0.539204306522461,0.43525654131643,0.673503073027868,0.531707140115199
"17",0.319176815777843,"20",0.658626868308652,0.479363167684656,0.781564844210825,0.389292426299513,0.572440005738294,0.472674509598634,0.65764489979402,0.548455984531137
"18",0.292972664691729,"21",0.640853363410881,0.494456840281558,0.800813010612782,0.397650331145635,0.519065586457813,0.41191032629197,0.649722325169259,0.51807188303018
"19",0.331017126896091,"22",0.714684969813616,0.557798475789177,0.767554365226773,0.458261659733386,0.500045603616556,0.570597813491359,0.703542861834828,0.579924901106451
"20",0.297882209088087,"23",0.676947433775225,0.468435005023342,0.82510663341408,0.417810122508083,0.487576742584475,0.455828755416596,0.66580318200823,0.537769740574698
"21",0.307980693729158,"24",0.67237218192907,0.391222431880012,0.769857912290008,0.324825212608246,0.517859463526596,0.375765570786953,0.636153732304148,0.499230477065375
"22",0.281950410746279,"25",0.639162429651907,0.383866342948257,0.754036795254835,0.337443879365294,0.500741049351363,0.418699209758138,0.643825031820759,0.500732037636618
"23",0.280000232784249,"26",0.680027959198315,0.409117723779927,0.783760605810449,0.341442968197182,0.499426236232595,0.418439192847411,0.65602903023095,0.51205934963546
"24",0.3236135905791,"27",0.648702886429387,0.393227964492015,0.775824980218238,0.309807068048558,0.52921408484735,0.432700304956442,0.638307613672175,0.511465815637079
"25",0.325511233549647,"28",0.679527007448776,0.549434939202253,0.773458280908877,0.419464294209894,0.521233187855424,0.509952294741405,0.722795404167584,0.560556126702291
"26",0.318798623194512,"29",0.661585425309676,0.516155251426262,0.787505569463834,0.364517621104803,0.541431888171399,0.498718530026265,0.694480139708761,0.55500416929645
"27",0.365501755420194,"30",0.660250618831261,0.441888973100461,0.848772508123673,0.467370703700002,0.4996352692823,0.521715498491683,0.70093700345601,0.556614354579993
"28",0.335668843800318,"31",0.65343230169706,0.490773250094274,0.778172932241227,0.36743969848967,0.580815786388649,0.492041622950491,0.693407136227806,0.566140751199623
"29",0.304470679971145,"32",0.64483540711561,0.378505152792989,0.782930962555141,0.437370338512467,0.490174848501156,0.4404188993706,0.628215958372257,0.520264709166127
"30",0.33201937956417,"33",0.666877116709458,0.466870270816463,0.833894800889533,0.438397970594401,0.513019254433644,0.503806095552625,0.679271026235479,0.555447471441271
"31",0.306531173700475,"34",0.597349874497045,0.364480041540745,0.770168537789743,0.362014814469117,0.510208579571892,0.419617289247175,0.624446508050075,0.50252132785202
"32",0.309351671992725,"35",0.688182882069477,0.445760052207074,0.76238735775282,0.399026497884658,0.466191227650469,0.40451155213118,0.625674821268514,0.521076601530393
"33",0.246288633914288,"36",0.594081925595251,0.352750169206932,0.739085001149908,0.329084503687768,0.484819861404416,0.390631835869037,0.620768708543747,0.478608586175081
"34",0.341033045347983,"37",0.692865162122031,0.526880907997255,0.802153915540839,0.447664487052982,0.520760353404856,0.580190149472091,0.714526375182429,0.58408094823523
